method,category,defect_type,count,mean,std,min,25%,50%,75%,max
Fusion WeightedAvg,juice_bottle,logical_anomalies,142.0,1.5355789574464696,1.1723931542723816,-0.1298336410191948,0.5175748559198536,1.2585204750359509,2.450361458089023,4.295241906161552
Fusion WeightedAvg,juice_bottle,structural_anomalies,94.0,0.9934231509423662,1.0707851777679978,-0.0370122350004522,0.5122557777456732,0.749059261213463,1.0531020541819813,6.347414312488769
Fusion WeightedAvg,pushpins,good,138.0,0.141274286299058,0.8029945874088227,-1.454724296446957,-0.6118617271283959,0.3754464994649947,0.6633347740398416,2.261293619144262
Fusion WeightedAvg,pushpins,logical_anomalies,91.0,0.9558638880979056,2.1315814766024497,-0.9379429726046016,-0.26480910307431693,0.2531548039050483,0.9062727241726373,7.711599695352564
Fusion WeightedAvg,pushpins,structural_anomalies,81.0,70.29151996361759,422.52811759514145,0.0966920357463947,3.12393409107274,3.730062136446634,4.625151262712227,2932.4568087473067
Fusion WeightedAvg,screw_bag,good,122.0,-0.5966689177539937,0.3581818094594848,-1.32979599898151,-0.8546963666036133,-0.6715199402275372,-0.3547488204104161,0.7986466746103528
Fusion WeightedAvg,screw_bag,logical_anomalies,137.0,-0.31349744756698006,0.44720282290876656,-1.187545648011151,-0.6741760371343075,-0.3613341417689446,-0.0645192598649457,1.0940019065933129
Fusion WeightedAvg,screw_bag,structural_anomalies,82.0,0.017470592753227564,0.638466084657376,-0.8993772968560294,-0.43505247414011994,-0.1751799311074062,0.4305038306886425,2.6419935177027867
Fusion WeightedAvg,splicing_connectors,good,119.0,-0.28822972691875226,0.38816900919946584,-1.159386798381275,-0.562402157820091,-0.3277972002348119,-0.005725042074508,0.8936409463873726
Fusion WeightedAvg,splicing_connectors,logical_anomalies,108.0,0.14425160292997088,1.658816701863181,-1.1368312916158572,-0.6618363170499664,-0.40021133267618847,0.04158047262093588,7.429124476938701
Fusion WeightedAvg,splicing_connectors,structural_anomalies,85.0,1.0188354769988024,4.784248539363229,-1.0614216109738246,-0.3952274745426767,-0.1422093808151844,0.5114672675093229,27.04270902205468
GridAware DINOv2,breakfast_box,good,102.0,0.03964877236720127,0.007321494514396013,0.027081751168288,0.03397303368446635,0.037589290789489055,0.0451547794750538,0.0569926785497829
GridAware DINOv2,breakfast_box,logical_anomalies,83.0,0.18944159326947194,0.249749628121711,0.0291151458333278,0.03704757831091505,0.0492949750402878,0.20815436426421685,0.7729248342842892
GridAware DINOv2,breakfast_box,structural_anomalies,90.0,0.04709989192442413,0.014808765264227579,0.0313258356061475,0.036572623323520674,0.0408867155683451,0.05394260533924755,0.0993447075116223
GridAware DINOv2,juice_bottle,good,94.0,0.030197463298977593,0.0042355239844951926,0.0227647359515058,0.027433467788043675,0.03002899888389065,0.03189211024035665,0.0490228226729508
GridAware DINOv2,juice_bottle,logical_anomalies,142.0,0.05640482850826915,0.029272128393938508,0.0241479582056917,0.0329677453585739,0.039456183893670255,0.08237261434310465,0.1344210527323443
GridAware DINOv2,juice_bottle,structural_anomalies,94.0,0.048202153424420066,0.03149362204602201,0.0257925585811508,0.032686356294514725,0.03809406242237,0.05338138017546507,0.2488195612255869
GridAware DINOv2,pushpins,good,138.0,0.025506005762075058,0.0032988392396773587,0.0190123657471147,0.023293522122348125,0.02545890308402735,0.0277186763183823,0.033013113934932
GridAware DINOv2,pushpins,logical_anomalies,91.0,0.025807963431519507,0.004791223901831503,0.0120566782766375,0.02353498313961355,0.0256843559829325,0.027489867029261948,0.0438803413818622
GridAware DINOv2,pushpins,structural_anomalies,81.0,0.0418317751239758,0.006487007531928354,0.0290837017498139,0.0378116791232906,0.0414684788034907,0.0449346170343201,0.0665788558022729
GridAware DINOv2,screw_bag,good,122.0,0.024267377491899254,0.003392395976698277,0.0178343114475237,0.0220496826484028,0.023659130558371502,0.02604829129795055,0.0394168093415169
GridAware DINOv2,screw_bag,logical_anomalies,137.0,0.02606792684237515,0.0043599663630138515,0.0159195679850105,0.0229918401816795,0.0254800474463865,0.0280041321469792,0.0457047837433116
GridAware DINOv2,screw_bag,structural_anomalies,82.0,0.030753449019893665,0.007545230292539108,0.0204394699299129,0.026166301573915703,0.028946480585326402,0.033000130126060026,0.0640034177179994
GridAware DINOv2,splicing_connectors,good,119.0,0.02469817137222066,0.003461235697237979,0.0197857660401997,0.0224027297106282,0.024295794038937,0.0260640701343273,0.0409665151402868
GridAware DINOv2,splicing_connectors,logical_anomalies,108.0,0.04772006217607365,0.06785707279620874,0.0063381554590987,0.022801892093286376,0.025286840531846502,0.02845150630535745,0.3233167236221247
GridAware DINOv2,splicing_connectors,structural_anomalies,85.0,0.037064314176825264,0.024321050643507154,0.0204420481519452,0.0244685988230951,0.0286972810482156,0.0365778753726646,0.1320153153019732
PatchCore,breakfast_box,good,102.0,0.04517367407954028,0.003143650254424376,0.0398825907402591,0.04282751314400255,0.0445202904742096,0.04732050281912663,0.0550575540883848
PatchCore,breakfast_box,logical_anomalies,83.0,0.04827767530264297,0.006870485465769516,0.038284932815342,0.0439613796430801,0.0467607983486297,0.050145986022649094,0.07086134904835
PatchCore,breakfast_box,structural_anomalies,90.0,0.047143593696303394,0.004302255627956642,0.0407039614040787,0.04413154549116108,0.046680039831921497,0.04866062249562945,0.0652226241499373
PatchCore,juice_bottle,good,94.0,0.047198646397475764,0.003562016706641578,0.0385026486224454,0.044690738722943005,0.0473940312750176,0.0494709870768286,0.0566348707334933
PatchCore,juice_bottle,logical_anomalies,142.0,0.05305422828369929,0.008351553425211029,0.0332682833043325,0.047914518458532826,0.05156283599745025,0.05782120248479512,0.0770919601166421
PatchCore,juice_bottle,structural_anomalies,94.0,0.05120518267518027,0.005425532152218246,0.041033432970216,0.04768187584525857,0.049957546943899395,0.054072403246773426,0.0733876560962189
PatchCore,pushpins,good,138.0,0.028728782536742804,0.0031127685670720583,0.0225145753761645,0.026405446582524774,0.028656559975446298,0.0306557356638643,0.0375885967212214
PatchCore,pushpins,logical_anomalies,91.0,0.028416633961941815,0.004731869626934307,0.0157662789431392,0.0264797635409037,0.0277805206921109,0.03007919770207485,0.0463796785299151
PatchCore,pushpins,structural_anomalies,81.0,0.03750513462106538,0.003535599576627303,0.0282706762464214,0.0349466878716432,0.0372652240674658,0.0399374832986899,0.0455929001636466
PatchCore,screw_bag,good,122.0,0.030676780642292366,0.0026439706104820476,0.0252156858219577,0.028925954870787828,0.03022363952782545,0.032322091194245506,0.042023484581438
PatchCore,screw_bag,logical_anomalies,137.0,0.0315361179530989,0.003089922056015071,0.0234179679193544,0.0295336417792197,0.0312531625130853,0.0333895970316152,0.0386233272800225
PatchCore,screw_bag,structural_anomalies,82.0,0.03298184965387929,0.004095902216760467,0.0267383608687407,0.0303761733368139,0.0323993161862348,0.03467102959770438,0.0502975600205721
PatchCore,splicing_connectors,good,119.0,0.033437106633942976,0.002748649004513947,0.0269966069745484,0.03152354410310455,0.0334579372034554,0.03528122420546015,0.0417420068683794
PatchCore,splicing_connectors,logical_anomalies,108.0,0.032696863086515114,0.005618370058943292,0.0054001818158415,0.030175983371079674,0.0328809219456842,0.03518954632489937,0.0510061812776302
PatchCore,splicing_connectors,structural_anomalies,85.0,0.03717929779385502,0.006543422844085341,0.0291409800848175,0.0324574882914369,0.0356539881645344,0.0397178407392566,0.0672344452015516
